n_obs,vanilla,a2c,vanilla_cc,a2c_cc
1,8536256000.0,8536256000.0,4276544000.0,4276544000.0
2,8569024000.0,8569024000.0,4292992000.0,4292992000.0
3,8601792000.0,8601792000.0,4309440000.0,4309440000.0
4,8634560000.0,8634560000.0,4325888000.0,4325888000.0
7,8732864000.0,8732864000.0,4375232000.0,4375232000.0
11,8863936000.0,8863936000.0,4441024000.0,4441024000.0
18,9093312000.0,9093312000.0,4556160000.0,4556160000.0
30,9486528000.0,9486528000.0,4753536000.0,4753536000.0
48,10076352000.0,10076352000.0,5049600000.0,5049600000.0
78,11059392000.0,11059392000.0,5543040000.0,5543040000.0
127,12665024000.0,12665024000.0,6348992000.0,6348992000.0
207,15286464000.0,15286464000.0,7664832000.0,7664832000.0
336,19513536000.0,19513536000.0,9786624000.0,9786624000.0
546,26394816000.0,26394816000.0,13240704000.0,13240704000.0
886,37535936000.0,37535936000.0,18833024000.0,18833024000.0
1438,55623872000.0,55623872000.0,27912320000.0,27912320000.0
2336,85049536000.0,85049536000.0,42682624000.0,42682624000.0
3793,132792512000.0,132792512000.0,66647360000.0,66647360000.0
6158,210288832000.0,210288832000.0,105546880000.0,105546880000.0
10000,336183488000.0,336183488000.0,168740096000.0,168740096000.0
