target_step,grad_steps,rollout_episodes,obs_mse_mean,obs_mse_sd,prox_mse_mean,prox_mse_sd,obs_q_mean,prox_q_mean,oracle_q_mean,eval_return_mean,eval_return_sd,n_seeds
5000,1024,30,0.2722,0.1949,0.2406,0.3899,6.696,7.012,6.69,941.56,60.06,3
5000,1024,300,0.0726,0.0328,0.0476,0.0661,6.615,6.901,6.758,985.56,17.71,3
20000,22528,30,302.0334,200.6409,328.3788,401.0287,55.529,53.739,46.639,975.63,76.85,3
20000,22528,300,75.2533,51.2483,38.752,19.1232,59.03,66.283,63.374,1020.0,0.0,3
50000,54272,30,591.0203,527.3202,271.1995,241.6201,68.895,64.021,58.306,994.19,44.33,3
50000,54272,300,393.6605,346.7374,286.0594,461.1081,80.101,100.829,93.544,1015.11,8.28,3
100000,96256,30,3767.942,4666.5266,3483.6656,5197.5079,71.617,70.072,84.979,988.07,55.3,3
100000,96256,300,1062.8225,1389.8795,2303.6341,2862.1947,88.516,118.753,111.307,1013.41,11.42,3
256000,256000,30,11841.4788,10788.7371,4569.3049,5239.9041,141.087,96.79,65.787,981.37,62.16,3
256000,256000,300,1214.9749,1957.2133,21934.6692,37522.8455,89.518,186.234,105.518,1016.15,5.04,3
