episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
0,cql,CartPole-v1,observational,cql,1.0,1.1225836277008057,7.763827323913574,7.101463317871094,0.6623640060424805,2.9911396503448486,0.6085000038146973,-2.5623435974121094,0.12538151443004608,0.0840558260679245,,,
0,cql,CartPole-v1,proximal,cql,1.0,0.9154981970787048,7.078024864196777,7.101463317871094,-0.023438453674316406,0.008459359407424927,0.9752500653266907,0.9889602065086365,0.9951969385147095,0.9925287961959839,0.997171860763355,,
0,cql,CartPole-v1,oracle_u,cql,1.0,0.9049668312072754,7.101463317871094,7.101463317871094,0.0,0.0,1.0,1.0,1.0,1.0,,,
2,cql,CartPole-v1,observational,cql,1.0,1.125939130783081,17.522430419921875,16.919906616210938,0.6025238037109375,11.096156120300293,0.8442500233650208,0.40279269218444824,0.867221474647522,0.7649451494216919,,,
2,cql,CartPole-v1,proximal,cql,1.0,0.8999434113502502,16.923648834228516,16.919906616210938,0.003742218017578125,0.03532141447067261,0.9897500276565552,0.9980354309082031,0.9991095662117004,0.994369387626648,0.9968167882564258,,
2,cql,CartPole-v1,oracle_u,cql,1.0,0.8944035172462463,16.919906616210938,16.919906616210938,0.0,0.0,1.0,1.0,1.0,1.0,,,
4,cql,CartPole-v1,observational,cql,1.0,1.5399940013885498,24.102140426635742,23.992033004760742,0.110107421875,24.501218795776367,0.8525000214576721,0.5445175766944885,0.8717219829559326,0.8868717551231384,,,
4,cql,CartPole-v1,proximal,cql,1.0,1.2003099918365479,23.792762756347656,23.992033004760742,-0.19927024841308594,0.18304364383220673,0.9842500686645508,0.9973340630531311,0.9987562894821167,0.9963473677635193,0.9925292025120089,,
4,cql,CartPole-v1,oracle_u,cql,1.0,1.2002241611480713,23.992033004760742,23.992033004760742,0.0,0.0,1.0,1.0,1.0,1.0,,,
6,cql,CartPole-v1,observational,cql,1.0,1.798766851425171,29.854888916015625,28.97296714782715,0.8819217681884766,52.73255157470703,0.8187500238418579,0.42362022399902344,0.8356236219406128,0.8821538686752319,,,
6,cql,CartPole-v1,proximal,cql,1.0,1.4610391855239868,28.680435180664062,28.97296714782715,-0.29253196716308594,0.3128606677055359,0.9792500734329224,0.9974785447120667,0.9987845420837402,0.9979456067085266,0.9940670295981733,,
6,cql,CartPole-v1,oracle_u,cql,1.0,1.4549442529678345,28.97296714782715,28.97296714782715,0.0,0.0,1.0,1.0,1.0,1.0,,,
8,cql,CartPole-v1,observational,cql,1.0,2.334360361099243,35.72505187988281,32.72715377807617,2.9978981018066406,108.7415542602539,0.858500063419342,0.15094321966171265,0.7891777753829956,0.8554194569587708,,,
8,cql,CartPole-v1,proximal,cql,1.0,1.6910755634307861,32.41377639770508,32.72715377807617,-0.31337738037109375,0.5334601402282715,0.9595000743865967,0.9962953329086304,0.9981458783149719,0.9982006549835205,0.9950942384090674,,
8,cql,CartPole-v1,oracle_u,cql,1.0,1.7119700908660889,32.72715377807617,32.72715377807617,0.0,0.0,1.0,1.0,1.0,1.0,,,
10,cql,CartPole-v1,observational,cql,1.0,2.412393808364868,41.5421028137207,36.15275955200195,5.38934326171875,161.791259765625,0.8627500534057617,0.05180138349533081,0.7953730821609497,0.8533287048339844,,,
10,cql,CartPole-v1,proximal,cql,1.0,1.958517074584961,36.00605773925781,36.15275955200195,-0.14670181274414062,0.6506977677345276,0.9577500224113464,0.9955058097839355,0.9978951811790466,0.9978984594345093,0.9959781648979238,,
10,cql,CartPole-v1,oracle_u,cql,1.0,1.9743430614471436,36.15275955200195,36.15275955200195,0.0,0.0,1.0,1.0,1.0,1.0,,,
