episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
0,cql,CartPole-v1,observational,cql,0.0,1.020765781402588,7.27473783493042,7.264632225036621,0.010105609893798828,0.005367506295442581,0.9487500190734863,0.9437263607978821,0.975828230381012,0.9795600771903992,,,
0,cql,CartPole-v1,proximal,cql,0.0,0.9615495204925537,7.36705207824707,7.264632225036621,0.10241985321044922,0.013307308778166771,0.9782500267028809,0.9698886275291443,0.9849081635475159,0.9854262471199036,,,
0,cql,CartPole-v1,oracle_u,cql,0.0,0.957636833190918,7.264632225036621,7.264632225036621,0.0,0.0,1.0,1.0,1.0,1.0,,,
10,cql,CartPole-v1,observational,cql,0.0,1.998917818069458,48.367366790771484,49.84965133666992,-1.4822845458984375,3.0604493618011475,0.8915000557899475,0.9949143528938293,0.9975224733352661,0.9934409856796265,,,
10,cql,CartPole-v1,proximal,cql,0.0,1.925748586654663,49.54792785644531,49.84965133666992,-0.3017234802246094,0.6957868933677673,0.8782500624656677,0.9964373707771301,0.9984118938446045,0.993198812007904,,,
10,cql,CartPole-v1,oracle_u,cql,0.0,1.9396369457244873,49.84965133666992,49.84965133666992,0.0,0.0,1.0,1.0,1.0,1.0,,,
21,cql,CartPole-v1,observational,cql,0.0,4.618901252746582,75.5328140258789,81.59050750732422,-6.0576934814453125,49.71571350097656,0.7917500138282776,0.9733694791793823,0.987908661365509,0.08399035036563873,,,
21,cql,CartPole-v1,proximal,cql,0.0,6.472682952880859,79.23711395263672,81.59050750732422,-2.3533935546875,9.983551025390625,0.7790000438690186,0.9909082651138306,0.9955494999885559,0.2114163488149643,,,
21,cql,CartPole-v1,oracle_u,cql,0.0,7.604431629180908,81.59050750732422,81.59050750732422,0.0,0.0,1.0,1.0,1.0,1.0,,,
31,cql,CartPole-v1,observational,cql,0.0,2.3314456939697266,88.91930389404297,101.90597534179688,-12.986671447753906,186.543701171875,0.5337499976158142,0.9774948358535767,0.9959330558776855,0.8879229426383972,,,
31,cql,CartPole-v1,proximal,cql,0.0,2.677273750305176,99.26103973388672,101.90597534179688,-2.6449356079101562,19.751310348510742,0.7942500114440918,0.9839537739753723,0.9923742413520813,0.06007508933544159,,,
31,cql,CartPole-v1,oracle_u,cql,0.0,2.7532315254211426,101.90597534179688,101.90597534179688,0.0,0.0,1.0,1.0,1.0,1.0,,,
42,cql,CartPole-v1,observational,cql,0.0,2.935234546661377,99.47250366210938,113.663818359375,-14.191314697265625,235.6835479736328,0.5242500305175781,0.9649447202682495,0.9869188666343689,0.12871147692203522,,,
42,cql,CartPole-v1,proximal,cql,0.0,3.160759449005127,114.49182891845703,113.663818359375,0.8280105590820312,9.619843482971191,0.7595000267028809,0.9908664226531982,0.9956949353218079,0.6852976679801941,,,
