target,steps,RE,anchor,obs_relerr,prox_relerr,obs_ratio,prox_ratio,oracle_ratio,eval_ret,n
5k,1024,300,18.27,0.041,0.028,0.42,0.45,0.43,985.6,3
5k,1024,1000,18.57,0.03,0.039,0.41,0.45,0.42,958.9,3
5k,1024,3000,18.54,0.031,0.037,0.42,0.45,0.43,961.1,3
20k,22528,300,18.27,0.184,0.107,3.34,3.9,3.72,1020.0,3
20k,22528,1000,18.57,0.082,0.052,3.55,3.7,3.67,1008.7,3
20k,22528,3000,18.54,0.061,0.03,3.76,3.94,3.91,1008.6,3
50k,54272,300,18.27,0.297,0.155,4.38,6.2,5.36,1015.1,3
50k,54272,1000,18.57,0.217,0.13,4.95,5.53,5.93,1001.2,3
50k,54272,3000,18.54,0.093,0.061,5.44,6.09,5.9,1012.8,3
100k,96256,300,18.27,0.353,0.333,4.84,8.0,6.19,1013.4,3
100k,96256,1000,18.57,0.362,0.094,5.17,6.39,6.83,1009.3,3
100k,96256,3000,18.54,0.091,0.062,6.03,6.85,6.51,1008.6,3
256k,256000,300,18.27,0.558,0.356,4.83,15.6,6.72,1016.1,3
256k,256000,1000,18.57,0.374,0.086,5.1,6.38,6.71,1011.5,3
256k,256000,3000,18.54,0.205,0.13,5.99,6.61,7.11,1008.7,3
