cell,tier,role,algo,n_seeds,iqm_norm_regret,ci_low,ci_high,iqm_J
3,medium,basic,bc,3,0.8804,0.8189,0.9382,1248.6
3,medium,variant,iql,3,0.7657,0.6888,0.8123,2708.7
4,medium,basic,bc,3,1.011,0.9871,1.0298,-412.8
5,medium,basic,bc,3,0.8804,0.8189,0.9382,1248.6
5,medium,variant,iql,3,0.7657,0.6888,0.8123,2708.7
6,medium,basic,bc,3,1.011,0.9871,1.0298,-412.8
7,g1d1p5,basic,bc,3,0.8227,0.8157,0.8277,1983.4
7,g1d1p5,variant,cql,3,0.599,0.5943,0.6042,4829.7
8,g1d1p5,basic,bc,3,0.9098,0.9041,0.915,874.6
8,g1d1p5,variant,kz:bc,3,0.9098,0.9041,0.915,874.6
