env,seed,coverage,width,separability,belief_entropy,delta_a,delta_r,heldout_transitions
CartPole-v1,100,0.1818181872367859,0.3372872769832611,1.0,0.9999611973762512,-0.0041678417200047705,0.31679914228353345,12577.0
CartPole-v1,101,0.16221413016319275,0.2664256691932678,0.9999946355819702,0.9999074935913086,-0.004384301728075518,0.10886025283571864,8210.0
CartPole-v1,102,0.1933002471923828,0.30191469192504883,1.0,0.9999539256095886,-0.0036458935440137883,0.3279943291391668,23788.0
CartPole-v1,103,0.167603000998497,0.20553776621818542,0.9999957084655762,0.9993714094161987,-0.0012034254807692308,0.12487505008012821,7800.0
CartPole-v1,104,0.1666666716337204,0.21975679695606232,1.0,0.9994873404502869,-0.005532719129493808,0.45732279799657327,8317.0
Acrobot-v1,100,0.10000000149011612,0.23950575292110443,1.0,0.9999611973762512,9.489583333333333e-05,0.43973572916666664,300000.0
Acrobot-v1,101,0.09677419066429138,0.2157449722290039,1.0,0.9998587965965271,-0.0007853125,0.4518094791666667,300000.0
Acrobot-v1,102,0.109375,0.29411765933036804,1.0,0.9999539256095886,-0.0010164583333333334,0.12101177083333334,300000.0
Acrobot-v1,103,0.12730756402015686,0.17265446484088898,1.0,0.999434769153595,-0.0013863541666666666,0.1600575,300000.0
Acrobot-v1,104,0.10601504147052765,0.24436935782432556,1.0,0.9994873404502869,-0.0007827083333333333,0.30670375,300000.0
