episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,cql,CartPole-v1,observational,cql,0.25,0.9089525938034058,13.014370918273926,,,,,,,,,,,-0.10546999424695969,0.6054699942469597,2927.72900390625,,57.282711029052734,
4000,cql,CartPole-v1,observational,cql,0.25,0.7775092124938965,23.809228897094727,,,,,,,,,,,-0.2592712938785553,0.7592712938785553,2057.6396484375,,57.282711029052734,
6000,cql,CartPole-v1,observational,cql,0.25,0.984146237373352,33.4749641418457,,,,,,,,,,,-0.4923120439052582,0.9923120439052582,1466.247802734375,,57.282711029052734,
8000,cql,CartPole-v1,observational,cql,0.25,2.0916647911071777,41.95315170288086,,,,,,,,,,,-0.5889521837234497,1.0889521837234497,1099.132080078125,,57.282711029052734,
10000,cql,CartPole-v1,observational,cql,0.25,1.7492241859436035,49.605430603027344,,,,,,,,,,,-0.6835101842880249,1.183510184288025,894.1026611328125,,57.282711029052734,
12000,cql,CartPole-v1,observational,cql,0.25,2.2089812755584717,56.551780700683594,,,,,,,,,,,-0.7017990946769714,1.2017990946769714,813.8925170898438,,57.282711029052734,
14000,cql,CartPole-v1,observational,cql,0.25,1.355254888534546,62.63029098510742,,,,,,,,,,,-0.7455908060073853,1.2455908060073853,822.3715209960938,,57.282711029052734,
16000,cql,CartPole-v1,observational,cql,0.25,2.0980162620544434,68.16896057128906,,,,,,,,,,,-0.900915265083313,1.400915265083313,900.351806640625,,57.282711029052734,
18000,cql,CartPole-v1,observational,cql,0.25,2.9623279571533203,73.14453125,,,,,,,,,,,-0.8696404099464417,1.3696404099464417,1022.929443359375,,57.282711029052734,
20000,cql,CartPole-v1,observational,cql,0.25,4.255640983581543,77.3862533569336,,,,,,,,,,,-0.9722373485565186,1.4722373485565186,1166.5452880859375,,57.282711029052734,
22000,cql,CartPole-v1,observational,cql,0.25,1.8219925165176392,81.3719482421875,,,,,,,,,,,-0.9762545824050903,1.4762545824050903,1333.2835693359375,,57.282711029052734,
24000,cql,CartPole-v1,observational,cql,0.25,1.6429321765899658,84.99571990966797,,,,,,,,,,,-1.1185975074768066,1.6185975074768066,1519.580810546875,,57.282711029052734,
26000,cql,CartPole-v1,observational,cql,0.25,1.9906001091003418,88.3699722290039,,,,,,,,,,,-1.1222976446151733,1.6222976446151733,1715.09033203125,,57.282711029052734,
28000,cql,CartPole-v1,observational,cql,0.25,3.881218671798706,91.197021484375,,,,,,,,,,,-1.2127492427825928,1.7127492427825928,1896.4776611328125,,57.282711029052734,
30000,cql,CartPole-v1,observational,cql,0.25,5.496849060058594,94.00920867919922,,,,,,,,,,,-1.1617393493652344,1.6617393493652344,2094.9716796875,,57.282711029052734,
32000,cql,CartPole-v1,observational,cql,0.25,2.586453914642334,96.22303771972656,,,,,,,,,,,-1.2429722547531128,1.7429722547531128,2260.03271484375,,57.282711029052734,
34000,cql,CartPole-v1,observational,cql,0.25,2.433382987976074,98.31813049316406,,,,,,,,,,,-1.2781593799591064,1.7781593799591064,2427.843505859375,,57.282711029052734,
36000,cql,CartPole-v1,observational,cql,0.25,1.7126402854919434,100.13337707519531,,,,,,,,,,,-1.226904273033142,1.726904273033142,2580.776123046875,,57.282711029052734,
38000,cql,CartPole-v1,observational,cql,0.25,2.7043333053588867,101.8514175415039,,,,,,,,,,,-1.2039486169815063,1.7039486169815063,2737.510009765625,,57.282711029052734,
40000,cql,CartPole-v1,observational,cql,0.25,3.9559426307678223,102.9670639038086,,,,,,,,,,,-1.4156720638275146,1.9156720638275146,2834.92578125,,57.282711029052734,
42000,cql,CartPole-v1,observational,cql,0.25,1.959228754043579,104.36968994140625,,,,,,,,,,,-1.4684754610061646,1.9684754610061646,2969.5986328125,,57.282711029052734,
44000,cql,CartPole-v1,observational,cql,0.25,2.4619953632354736,105.78978729248047,,,,,,,,,,,-1.520810842514038,2.020810842514038,3109.149169921875,,57.282711029052734,
46000,cql,CartPole-v1,observational,cql,0.25,2.5948758125305176,107.15608215332031,,,,,,,,,,,-1.5743803977966309,2.074380397796631,3246.774169921875,,57.282711029052734,
48000,cql,CartPole-v1,observational,cql,0.25,4.65444278717041,108.48636627197266,,,,,,,,,,,-1.4792174100875854,1.9792174100875854,3384.4521484375,,57.282711029052734,
50000,cql,CartPole-v1,observational,cql,0.25,3.8706676959991455,109.6353530883789,,,,,,,,,,,-1.5626347064971924,2.0626347064971924,3507.73046875,,57.282711029052734,
