episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,cql,CartPole-v1,,,0.8326535224914551,,,,,0.18146851658821106,,0.18146851658821106
4000,cql,CartPole-v1,,,1.290006160736084,,,,,0.510780930519104,,0.510780930519104
6000,cql,CartPole-v1,,,1.2191091775894165,,,,,0.18950285017490387,,0.18950285017490387
8000,cql,CartPole-v1,,,1.5282986164093018,,,,,0.25995224714279175,,0.25995224714279175
10000,cql,CartPole-v1,,,2.3033671379089355,,,,,1.0739139318466187,,1.0739139318466187
12000,cql,CartPole-v1,,,1.8791970014572144,,,,,0.3657689094543457,,0.3657689094543457
14000,cql,CartPole-v1,,,3.1470513343811035,,,,,0.9285329580307007,,0.9285329580307007
16000,cql,CartPole-v1,,,3.4452786445617676,,,,,1.6800105571746826,,1.6800105571746826
18000,cql,CartPole-v1,,,1.8303006887435913,,,,,0.13067162036895752,,0.13067162036895752
20000,cql,CartPole-v1,,,2.005997657775879,,,,,0.22726279497146606,,0.22726279497146606
22000,cql,CartPole-v1,,,6.056473731994629,,,,,3.815422773361206,,3.815422773361206
24000,cql,CartPole-v1,,,1.9892597198486328,,,,,0.43754124641418457,,0.43754124641418457
26000,cql,CartPole-v1,,,2.7869467735290527,,,,,0.23266661167144775,,0.23266661167144775
28000,cql,CartPole-v1,,,3.363597869873047,,,,,1.5329917669296265,,1.5329917669296265
30000,cql,CartPole-v1,,,2.4663233757019043,,,,,0.6060857772827148,,0.6060857772827148
32000,cql,CartPole-v1,,,5.6848015785217285,,,,,3.8650264739990234,,3.8650264739990234
34000,cql,CartPole-v1,,,2.858063220977783,,,,,0.3257489800453186,,0.3257489800453186
36000,cql,CartPole-v1,,,2.8732008934020996,,,,,0.46713972091674805,,0.46713972091674805
38000,cql,CartPole-v1,,,2.2099435329437256,,,,,0.1003701314330101,,0.1003701314330101
40000,cql,CartPole-v1,,,3.8194196224212646,,,,,1.9259923696517944,,1.9259923696517944
42000,cql,CartPole-v1,,,3.3416833877563477,,,,,0.405942440032959,,0.405942440032959
44000,cql,CartPole-v1,,,2.3185129165649414,,,,,0.5426714420318604,,0.5426714420318604
46000,cql,CartPole-v1,,,5.430072784423828,,,,,2.5614373683929443,,2.5614373683929443
48000,cql,CartPole-v1,,,2.7871954441070557,,,,,0.4097349941730499,,0.4097349941730499
50000,cql,CartPole-v1,,,4.198622226715088,,,,,1.2020549774169922,,1.2020549774169922
