episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,iql,CartPole-v1,,,0.4163217842578888,,0.03666045516729355,,,0.4163217842578888,0.4560776352882385,0.4163217842578888
4000,iql,CartPole-v1,,,0.25664910674095154,,0.14440815150737762,,,0.25664910674095154,0.26792168617248535,0.25664910674095154
6000,iql,CartPole-v1,,,0.5919772982597351,,0.7648643851280212,,,0.5919772982597351,0.2894946038722992,0.5919772982597351
8000,iql,CartPole-v1,,,1.6797670125961304,,1.3854856491088867,,,1.6797670125961304,0.22242829203605652,1.6797670125961304
10000,iql,CartPole-v1,,,0.5381506085395813,,2.576183319091797,,,0.5381506085395813,0.2357226312160492,0.5381506085395813
12000,iql,CartPole-v1,,,0.7571866512298584,,3.7729249000549316,,,0.7571866512298584,0.16239532828330994,0.7571866512298584
14000,iql,CartPole-v1,,,0.3298013508319855,,4.146975517272949,,,0.3298013508319855,0.25492215156555176,0.3298013508319855
16000,iql,CartPole-v1,,,0.7974143028259277,,7.150676727294922,,,0.7974143028259277,0.23074525594711304,0.7974143028259277
18000,iql,CartPole-v1,,,2.9464499950408936,,6.887944221496582,,,2.9464499950408936,0.1483103483915329,2.9464499950408936
20000,iql,CartPole-v1,,,2.8076272010803223,,7.406826972961426,,,2.8076272010803223,0.28062862157821655,2.8076272010803223
22000,iql,CartPole-v1,,,0.36285582184791565,,9.296600341796875,,,0.36285582184791565,0.4384857416152954,0.36285582184791565
24000,iql,CartPole-v1,,,0.4700748026371002,,10.140095710754395,,,0.4700748026371002,0.16012924909591675,0.4700748026371002
26000,iql,CartPole-v1,,,1.5020222663879395,,9.857011795043945,,,1.5020222663879395,0.15897494554519653,1.5020222663879395
28000,iql,CartPole-v1,,,2.8706233501434326,,14.882227897644043,,,2.8706233501434326,0.237420916557312,2.8706233501434326
30000,iql,CartPole-v1,,,3.3734941482543945,,15.889114379882812,,,3.3734941482543945,0.09295044839382172,3.3734941482543945
32000,iql,CartPole-v1,,,0.9567360877990723,,13.63661003112793,,,0.9567360877990723,0.18316030502319336,0.9567360877990723
34000,iql,CartPole-v1,,,1.071535348892212,,17.324554443359375,,,1.071535348892212,0.1510821133852005,1.071535348892212
36000,iql,CartPole-v1,,,0.877526044845581,,12.892993927001953,,,0.877526044845581,0.1406136006116867,0.877526044845581
38000,iql,CartPole-v1,,,0.511770486831665,,20.43523406982422,,,0.511770486831665,0.08960127830505371,0.511770486831665
40000,iql,CartPole-v1,,,4.374032020568848,,12.596323013305664,,,4.374032020568848,0.1608125865459442,4.374032020568848
42000,iql,CartPole-v1,,,1.1022509336471558,,8.74698257446289,,,1.1022509336471558,0.1288081556558609,1.1022509336471558
44000,iql,CartPole-v1,,,0.7692190408706665,,25.11448860168457,,,0.7692190408706665,0.17799325287342072,0.7692190408706665
46000,iql,CartPole-v1,,,1.3336726427078247,,20.271846771240234,,,1.3336726427078247,0.26933544874191284,1.3336726427078247
48000,iql,CartPole-v1,,,4.916332721710205,,22.174625396728516,,,4.916332721710205,0.2310124933719635,4.916332721710205
50000,iql,CartPole-v1,,,2.8046698570251465,,18.303112030029297,,,2.8046698570251465,0.17040500044822693,2.8046698570251465
