episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,iql,CartPole-v1,observational,iql,0.25,0.2414204478263855,12.803262710571289,,,,,,,,,,,-0.06375966221094131,0.5637596622109413,2946.27490234375,,57.282711029052734,
4000,iql,CartPole-v1,observational,iql,0.25,0.09061198681592941,22.861024856567383,,,,,,,,,,,-0.501372218132019,1.001372218132019,2115.803466796875,,57.282711029052734,
6000,iql,CartPole-v1,observational,iql,0.25,0.34959936141967773,32.200679779052734,,,,,,,,,,,-0.6629204154014587,1.1629204154014587,1533.16650390625,,57.282711029052734,
8000,iql,CartPole-v1,observational,iql,0.25,1.3233311176300049,40.23719787597656,,,,,,,,,,,-0.9499467015266418,1.4499467015266418,1161.696533203125,,57.282711029052734,
10000,iql,CartPole-v1,observational,iql,0.25,0.5928981304168701,47.18760299682617,,,,,,,,,,,-1.2361890077590942,1.7361890077590942,942.7537841796875,,57.282711029052734,
12000,iql,CartPole-v1,observational,iql,0.25,1.0162733793258667,53.29082107543945,,,,,,,,,,,-1.4105333089828491,1.9105333089828491,830.3748168945312,,57.282711029052734,
14000,iql,CartPole-v1,observational,iql,0.25,0.18476203083992004,58.77097702026367,,,,,,,,,,,-1.654903769493103,2.154903769493103,789.9539184570312,,57.282711029052734,
16000,iql,CartPole-v1,observational,iql,0.25,0.7660878300666809,63.57221221923828,,,,,,,,,,,-1.6802712678909302,2.18027126789093,809.4999389648438,,57.282711029052734,
18000,iql,CartPole-v1,observational,iql,0.25,2.6302802562713623,67.934814453125,,,,,,,,,,,-1.9737299680709839,2.473729968070984,865.7485961914062,,57.282711029052734,
20000,iql,CartPole-v1,observational,iql,0.25,2.594468832015991,72.21206665039062,,,,,,,,,,,-1.8506253957748413,2.3506253957748413,968.855712890625,,57.282711029052734,
22000,iql,CartPole-v1,observational,iql,0.25,0.3840828239917755,75.20472717285156,,,,,,,,,,,-2.1031816005706787,2.6031816005706787,1043.140869140625,,57.282711029052734,
24000,iql,CartPole-v1,observational,iql,0.25,0.26711881160736084,78.64156341552734,,,,,,,,,,,-2.019195556640625,2.519195556640625,1171.7620849609375,,57.282711029052734,
26000,iql,CartPole-v1,observational,iql,0.25,1.1355952024459839,81.33912658691406,,,,,,,,,,,-2.2850089073181152,2.7850089073181152,1288.45263671875,,57.282711029052734,
28000,iql,CartPole-v1,observational,iql,0.25,2.4835615158081055,83.93148803710938,,,,,,,,,,,-2.163416624069214,2.663416624069214,1411.8995361328125,,57.282711029052734,
30000,iql,CartPole-v1,observational,iql,0.25,3.346815586090088,86.19495391845703,,,,,,,,,,,-2.196977376937866,2.696977376937866,1532.7921142578125,,57.282711029052734,
32000,iql,CartPole-v1,observational,iql,0.25,0.852459728717804,87.95389556884766,,,,,,,,,,,-2.255647659301758,2.755647659301758,1627.747802734375,,57.282711029052734,
34000,iql,CartPole-v1,observational,iql,0.25,0.8149435520172119,89.58808135986328,,,,,,,,,,,-2.544558048248291,3.044558048248291,1724.089599609375,,57.282711029052734,
36000,iql,CartPole-v1,observational,iql,0.25,0.8772133588790894,91.17327880859375,,,,,,,,,,,-2.7835967540740967,3.2835967540740967,1828.3289794921875,,57.282711029052734,
38000,iql,CartPole-v1,observational,iql,0.25,0.5617350935935974,92.46270751953125,,,,,,,,,,,-2.5020618438720703,3.0020618438720703,1909.9385986328125,,57.282711029052734,
40000,iql,CartPole-v1,observational,iql,0.25,2.5442299842834473,93.41030883789062,,,,,,,,,,,-2.646902084350586,3.146902084350586,1972.8035888671875,,57.282711029052734,
42000,iql,CartPole-v1,observational,iql,0.25,0.8760775327682495,94.7896957397461,,,,,,,,,,,-2.690260171890259,3.190260171890259,2075.388671875,,57.282711029052734,
44000,iql,CartPole-v1,observational,iql,0.25,0.5261439681053162,95.3826904296875,,,,,,,,,,,-2.5569958686828613,3.0569958686828613,2113.846435546875,,57.282711029052734,
46000,iql,CartPole-v1,observational,iql,0.25,0.9816878437995911,95.45386505126953,,,,,,,,,,,-2.7136240005493164,3.2136240005493164,2114.844970703125,,57.282711029052734,
48000,iql,CartPole-v1,observational,iql,0.25,2.490924835205078,96.50575256347656,,,,,,,,,,,-2.7645061016082764,3.2645061016082764,2195.45751953125,,57.282711029052734,
50000,iql,CartPole-v1,observational,iql,0.25,2.3132476806640625,96.59944152832031,,,,,,,,,,,-2.6878442764282227,3.1878442764282227,2199.064697265625,,57.282711029052734,
