episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,cql,CartPole-v1,,,0.9408639669418335,,,,,0.17785358428955078,,0.17785358428955078
4000,cql,CartPole-v1,,,1.5538746118545532,,,,,0.36111655831336975,,0.36111655831336975
6000,cql,CartPole-v1,,,2.0822091102600098,,,,,0.3913724720478058,,0.3913724720478058
8000,cql,CartPole-v1,,,2.8738625049591064,,,,,0.462430477142334,,0.462430477142334
10000,cql,CartPole-v1,,,2.785313844680786,,,,,0.42569026350975037,,0.42569026350975037
12000,cql,CartPole-v1,,,2.6208882331848145,,,,,0.4119090437889099,,0.4119090437889099
14000,cql,CartPole-v1,,,3.83243989944458,,,,,0.48394715785980225,,0.48394715785980225
16000,cql,CartPole-v1,,,4.121360778808594,,,,,0.6445657014846802,,0.6445657014846802
18000,cql,CartPole-v1,,,4.282026767730713,,,,,0.5867648124694824,,0.5867648124694824
20000,cql,CartPole-v1,,,4.051535606384277,,,,,0.4063999652862549,,0.4063999652862549
22000,cql,CartPole-v1,,,4.93819522857666,,,,,0.44868409633636475,,0.44868409633636475
24000,cql,CartPole-v1,,,4.781754016876221,,,,,0.45057326555252075,,0.45057326555252075
26000,cql,CartPole-v1,,,5.384645462036133,,,,,0.4192487597465515,,0.4192487597465515
28000,cql,CartPole-v1,,,4.967522144317627,,,,,0.38261276483535767,,0.38261276483535767
30000,cql,CartPole-v1,,,5.138540744781494,,,,,0.5385946035385132,,0.5385946035385132
32000,cql,CartPole-v1,,,5.796627998352051,,,,,0.46655112504959106,,0.46655112504959106
34000,cql,CartPole-v1,,,5.933647155761719,,,,,0.44418784976005554,,0.44418784976005554
36000,cql,CartPole-v1,,,5.16569709777832,,,,,0.35084497928619385,,0.35084497928619385
38000,cql,CartPole-v1,,,6.904776573181152,,,,,0.369295209646225,,0.369295209646225
40000,cql,CartPole-v1,,,5.907259941101074,,,,,0.3976840078830719,,0.3976840078830719
42000,cql,CartPole-v1,,,5.831320762634277,,,,,0.44908902049064636,,0.44908902049064636
44000,cql,CartPole-v1,,,6.0655903816223145,,,,,0.3833426833152771,,0.3833426833152771
46000,cql,CartPole-v1,,,6.792703151702881,,,,,0.37136363983154297,,0.37136363983154297
48000,cql,CartPole-v1,,,6.453291893005371,,,,,0.43986567854881287,,0.43986567854881287
50000,cql,CartPole-v1,,,6.068044185638428,,,,,0.3905205726623535,,0.3905205726623535
