episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,cql,CartPole-v1,observational,cql,0.0,1.1602197885513306,12.91909408569336,,,,,,,,,,,0.18962642550468445,0.31037357449531555,424.5276184082031,,24.793415069580078,
4000,cql,CartPole-v1,observational,cql,0.0,1.188388705253601,22.897445678710938,,,,,,,,,,,1.1109188795089722,0.6109188795089722,253.53988647460938,,24.793415069580078,
6000,cql,CartPole-v1,observational,cql,0.0,1.3342690467834473,31.425004959106445,,,,,,,,,,,1.9354095458984375,1.4354095458984375,273.5155334472656,,24.793415069580078,
8000,cql,CartPole-v1,observational,cql,0.0,1.810112476348877,39.60662078857422,,,,,,,,,,,2.672978162765503,2.172978162765503,452.88201904296875,,24.793415069580078,
10000,cql,CartPole-v1,observational,cql,0.0,1.7872231006622314,46.72911071777344,,,,,,,,,,,3.2700960636138916,2.7700960636138916,728.94140625,,24.793415069580078,
12000,cql,CartPole-v1,observational,cql,0.0,2.2079429626464844,53.004425048828125,,,,,,,,,,,3.8034112453460693,3.3034112453460693,1064.3514404296875,,24.793415069580078,
14000,cql,CartPole-v1,observational,cql,0.0,2.366206645965576,58.80329895019531,,,,,,,,,,,4.280627250671387,3.7806272506713867,1450.5462646484375,,24.793415069580078,
16000,cql,CartPole-v1,observational,cql,0.0,2.7391672134399414,64.15165710449219,,,,,,,,,,,4.718532562255859,4.218532562255859,1872.0220947265625,,24.793415069580078,
18000,cql,CartPole-v1,observational,cql,0.0,2.3352770805358887,69.25017547607422,,,,,,,,,,,5.111250400543213,4.611250400543213,2333.32421875,,24.793415069580078,
20000,cql,CartPole-v1,observational,cql,0.0,3.800196647644043,73.9674072265625,,,,,,,,,,,5.540489196777344,5.040489196777344,2809.033935546875,,24.793415069580078,
22000,cql,CartPole-v1,observational,cql,0.0,3.410782814025879,78.39826965332031,,,,,,,,,,,5.833420276641846,5.333420276641846,3301.860107421875,,24.793415069580078,
24000,cql,CartPole-v1,observational,cql,0.0,4.823107719421387,82.45001983642578,,,,,,,,,,,6.224113464355469,5.724113464355469,3790.264404296875,,24.793415069580078,
26000,cql,CartPole-v1,observational,cql,0.0,3.322347640991211,86.22364807128906,,,,,,,,,,,6.417938709259033,5.917938709259033,4275.94091796875,,24.793415069580078,
28000,cql,CartPole-v1,observational,cql,0.0,2.8810312747955322,89.7947998046875,,,,,,,,,,,6.718411922454834,6.218411922454834,4759.89208984375,,24.793415069580078,
30000,cql,CartPole-v1,observational,cql,0.0,4.575815200805664,92.9740219116211,,,,,,,,,,,6.963236331939697,6.463236331939697,5219.2841796875,,24.793415069580078,
32000,cql,CartPole-v1,observational,cql,0.0,3.1366147994995117,96.23180389404297,,,,,,,,,,,7.201926231384277,6.701926231384277,5705.2119140625,,24.793415069580078,
34000,cql,CartPole-v1,observational,cql,0.0,3.416562557220459,99.0312271118164,,,,,,,,,,,7.414433002471924,6.914433002471924,6147.92529296875,,24.793415069580078,
36000,cql,CartPole-v1,observational,cql,0.0,2.536189556121826,101.70880126953125,,,,,,,,,,,7.6708879470825195,7.1708879470825195,6587.71728515625,,24.793415069580078,
38000,cql,CartPole-v1,observational,cql,0.0,7.959403038024902,104.07862854003906,,,,,,,,,,,7.819228649139404,7.319228649139404,6996.1123046875,,24.793415069580078,
40000,cql,CartPole-v1,observational,cql,0.0,4.9578328132629395,106.73577117919922,,,,,,,,,,,8.000055313110352,7.500055313110352,7448.4521484375,,24.793415069580078,
42000,cql,CartPole-v1,observational,cql,0.0,2.81608247756958,108.97467041015625,,,,,,,,,,,8.15708065032959,7.65708065032959,7854.88818359375,,24.793415069580078,
44000,cql,CartPole-v1,observational,cql,0.0,3.4787275791168213,111.19876861572266,,,,,,,,,,,8.407955169677734,7.907955169677734,8262.3466796875,,24.793415069580078,
46000,cql,CartPole-v1,observational,cql,0.0,3.4685604572296143,113.27983093261719,,,,,,,,,,,8.516572952270508,8.016572952270508,8661.447265625,,24.793415069580078,
48000,cql,CartPole-v1,observational,cql,0.0,2.508544921875,115.26859283447266,,,,,,,,,,,8.723142623901367,8.223142623901367,9049.05859375,,24.793415069580078,
50000,cql,CartPole-v1,observational,cql,0.0,2.4525089263916016,117.34609985351562,,,,,,,,,,,8.916959762573242,8.416959762573242,9468.3583984375,,24.793415069580078,
