episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,cql,CartPole-v1,observational,cql,0.0,0.8579227328300476,9.550979614257812,,,,,,,,,,,0.25928404927253723,0.24071595072746277,34.18023681640625,,10.701272010803223,
4000,cql,CartPole-v1,observational,cql,0.0,1.5092270374298096,14.602502822875977,,,,,,,,,,,1.333370566368103,0.833370566368103,40.2592658996582,,10.701272010803223,
6000,cql,CartPole-v1,observational,cql,0.0,1.871563196182251,20.507526397705078,,,,,,,,,,,2.0131990909576416,1.5131990909576416,136.0319061279297,,10.701272010803223,
8000,cql,CartPole-v1,observational,cql,0.0,2.6245155334472656,25.549095153808594,,,,,,,,,,,2.594773292541504,2.094773292541504,287.0065002441406,,10.701272010803223,
10000,cql,CartPole-v1,observational,cql,0.0,2.7216291427612305,30.172136306762695,,,,,,,,,,,3.1382124423980713,2.6382124423980713,480.23095703125,,10.701272010803223,
12000,cql,CartPole-v1,observational,cql,0.0,2.7066822052001953,34.51032257080078,,,,,,,,,,,3.757310152053833,3.257310152053833,713.3408813476562,,10.701272010803223,
14000,cql,CartPole-v1,observational,cql,0.0,3.9114573001861572,38.240718841552734,,,,,,,,,,,4.362696170806885,3.8626961708068848,959.0372924804688,,10.701272010803223,
16000,cql,CartPole-v1,observational,cql,0.0,3.993520975112915,41.73828887939453,,,,,,,,,,,4.71198844909668,4.21198844909668,1221.537109375,,10.701272010803223,
18000,cql,CartPole-v1,observational,cql,0.0,4.2361860275268555,44.68603515625,,,,,,,,,,,5.137013912200928,4.637013912200928,1471.28662109375,,10.701272010803223,
20000,cql,CartPole-v1,observational,cql,0.0,4.0190653800964355,47.51143264770508,,,,,,,,,,,5.649321556091309,5.149321556091309,1734.294677734375,,10.701272010803223,
22000,cql,CartPole-v1,observational,cql,0.0,4.91260290145874,50.333580017089844,,,,,,,,,,,6.141698360443115,5.641698360443115,2014.2530517578125,,10.701272010803223,
24000,cql,CartPole-v1,observational,cql,0.0,4.72709321975708,53.122493743896484,,,,,,,,,,,6.4081525802612305,5.9081525802612305,2308.584228515625,,10.701272010803223,
26000,cql,CartPole-v1,observational,cql,0.0,5.328451633453369,55.75897979736328,,,,,,,,,,,6.686511993408203,6.186511993408203,2603.215087890625,,10.701272010803223,
28000,cql,CartPole-v1,observational,cql,0.0,4.890995979309082,58.232357025146484,,,,,,,,,,,7.070172309875488,6.570172309875488,2893.3828125,,10.701272010803223,
30000,cql,CartPole-v1,observational,cql,0.0,5.111743927001953,60.67070770263672,,,,,,,,,,,7.165923118591309,6.665923118591309,3185.20654296875,,10.701272010803223,
32000,cql,CartPole-v1,observational,cql,0.0,5.659703254699707,62.1685905456543,,,,,,,,,,,7.3658246994018555,6.8658246994018555,3403.0361328125,,10.701272010803223,
34000,cql,CartPole-v1,observational,cql,0.0,5.8223490715026855,64.13296508789062,,,,,,,,,,,7.767263889312744,7.267263889312744,3664.01220703125,,10.701272010803223,
36000,cql,CartPole-v1,observational,cql,0.0,5.082310199737549,65.81523132324219,,,,,,,,,,,7.848734378814697,7.348734378814697,3898.47802734375,,10.701272010803223,
38000,cql,CartPole-v1,observational,cql,0.0,6.9325852394104,67.57320404052734,,,,,,,,,,,8.247028350830078,7.747028350830078,4150.62548828125,,10.701272010803223,
40000,cql,CartPole-v1,observational,cql,0.0,5.966587066650391,69.31470489501953,,,,,,,,,,,8.267473220825195,7.767473220825195,4396.3212890625,,10.701272010803223,
42000,cql,CartPole-v1,observational,cql,0.0,5.758584976196289,70.49575805664062,,,,,,,,,,,8.369890213012695,7.869890213012695,4583.5771484375,,10.701272010803223,
44000,cql,CartPole-v1,observational,cql,0.0,6.043630123138428,71.71630096435547,,,,,,,,,,,8.633666038513184,8.133666038513184,4763.59130859375,,10.701272010803223,
46000,cql,CartPole-v1,observational,cql,0.0,6.637662410736084,72.61678314208984,,,,,,,,,,,8.607426643371582,8.107426643371582,4904.3896484375,,10.701272010803223,
48000,cql,CartPole-v1,observational,cql,0.0,6.436981201171875,73.3843765258789,,,,,,,,,,,8.710701942443848,8.210701942443848,5015.3271484375,,10.701272010803223,
50000,cql,CartPole-v1,observational,cql,0.0,5.973050594329834,73.92130279541016,,,,,,,,,,,8.701364517211914,8.201364517211914,5092.85693359375,,10.701272010803223,
