episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,cql,CartPole-v1,,,1.2159993648529053,,,,,0.5817383527755737,,0.5817383527755737
4000,cql,CartPole-v1,,,1.172480821609497,,,,,0.3981380760669708,,0.3981380760669708
6000,cql,CartPole-v1,,,0.9602373838424683,,,,,0.22684308886528015,,0.22684308886528015
8000,cql,CartPole-v1,,,1.541156530380249,,,,,0.3827695846557617,,0.3827695846557617
10000,cql,CartPole-v1,,,1.5860230922698975,,,,,0.5008986592292786,,0.5008986592292786
12000,cql,CartPole-v1,,,2.3739304542541504,,,,,1.2079280614852905,,1.2079280614852905
14000,cql,CartPole-v1,,,1.5942578315734863,,,,,0.6913434863090515,,0.6913434863090515
16000,cql,CartPole-v1,,,1.752197504043579,,,,,0.4572985768318176,,0.4572985768318176
18000,cql,CartPole-v1,,,3.0905344486236572,,,,,1.2651028633117676,,1.2651028633117676
20000,cql,CartPole-v1,,,2.7097740173339844,,,,,1.456450343132019,,1.456450343132019
22000,cql,CartPole-v1,,,5.332752227783203,,,,,3.5021770000457764,,3.5021770000457764
24000,cql,CartPole-v1,,,3.019770622253418,,,,,0.6972929835319519,,0.6972929835319519
26000,cql,CartPole-v1,,,3.005587577819824,,,,,0.8998837471008301,,0.8998837471008301
28000,cql,CartPole-v1,,,3.4310197830200195,,,,,1.9418727159500122,,1.9418727159500122
30000,cql,CartPole-v1,,,2.582098960876465,,,,,0.8790942430496216,,0.8790942430496216
32000,cql,CartPole-v1,,,1.5422594547271729,,,,,0.2934362292289734,,0.2934362292289734
34000,cql,CartPole-v1,,,3.5612733364105225,,,,,1.3127436637878418,,1.3127436637878418
36000,cql,CartPole-v1,,,4.100912570953369,,,,,1.8931583166122437,,1.8931583166122437
38000,cql,CartPole-v1,,,3.025416135787964,,,,,1.2580208778381348,,1.2580208778381348
40000,cql,CartPole-v1,,,3.6029462814331055,,,,,1.2252599000930786,,1.2252599000930786
42000,cql,CartPole-v1,,,3.369668960571289,,,,,1.239983081817627,,1.239983081817627
44000,cql,CartPole-v1,,,3.2960567474365234,,,,,1.2138714790344238,,1.2138714790344238
46000,cql,CartPole-v1,,,5.1081109046936035,,,,,3.15341854095459,,3.15341854095459
48000,cql,CartPole-v1,,,2.7435388565063477,,,,,0.4279067814350128,,0.4279067814350128
50000,cql,CartPole-v1,,,3.2523090839385986,,,,,0.6778475642204285,,0.6778475642204285
