episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,iql,CartPole-v1,observational,iql,0.0,0.370826780796051,12.411480903625488,,,,,,,,,,,0.34724318981170654,0.15275681018829346,395.57196044921875,,24.6297550201416,
4000,iql,CartPole-v1,observational,iql,0.0,0.17493604123592377,21.343685150146484,,,,,,,,,,,1.52203369140625,1.02203369140625,211.40992736816406,,24.6297550201416,
6000,iql,CartPole-v1,observational,iql,0.0,0.16709250211715698,27.394872665405273,,,,,,,,,,,2.395979642868042,1.895979642868042,164.53126525878906,,24.6297550201416,
8000,iql,CartPole-v1,observational,iql,0.0,0.13816207647323608,32.35392761230469,,,,,,,,,,,3.2265167236328125,2.7265167236328125,194.43138122558594,,24.6297550201416,
10000,iql,CartPole-v1,observational,iql,0.0,0.27570968866348267,35.85481643676758,,,,,,,,,,,4.088616847991943,3.5886168479919434,249.31040954589844,,24.6297550201416,
12000,iql,CartPole-v1,observational,iql,0.0,0.5546295642852783,38.31441879272461,,,,,,,,,,,4.95644474029541,4.45644474029541,309.3371276855469,,24.6297550201416,
14000,iql,CartPole-v1,observational,iql,0.0,0.2594301700592041,40.506553649902344,,,,,,,,,,,5.465117454528809,4.965117454528809,379.6700134277344,,24.6297550201416,
16000,iql,CartPole-v1,observational,iql,0.0,0.46909192204475403,42.59855651855469,,,,,,,,,,,5.730328559875488,5.230328559875488,457.3125915527344,,24.6297550201416,
18000,iql,CartPole-v1,observational,iql,0.0,0.16412922739982605,44.3071174621582,,,,,,,,,,,6.30402946472168,5.80402946472168,529.1445922851562,,24.6297550201416,
20000,iql,CartPole-v1,observational,iql,0.0,0.4085308313369751,45.86408996582031,,,,,,,,,,,6.611371994018555,6.111371994018555,599.5524291992188,,24.6297550201416,
22000,iql,CartPole-v1,observational,iql,0.0,0.42620304226875305,47.16330337524414,,,,,,,,,,,6.894576549530029,6.394576549530029,665.0537719726562,,24.6297550201416,
24000,iql,CartPole-v1,observational,iql,0.0,0.7374957203865051,48.25347900390625,,,,,,,,,,,7.223091125488281,6.723091125488281,721.300048828125,,24.6297550201416,
26000,iql,CartPole-v1,observational,iql,0.0,0.4926247298717499,48.76046371459961,,,,,,,,,,,7.354964256286621,6.854964256286621,754.4532470703125,,24.6297550201416,
28000,iql,CartPole-v1,observational,iql,0.0,0.28081873059272766,49.63203811645508,,,,,,,,,,,7.6515326499938965,7.1515326499938965,802.4960327148438,,24.6297550201416,
30000,iql,CartPole-v1,observational,iql,0.0,1.3479615449905396,50.282493591308594,,,,,,,,,,,7.7368059158325195,7.2368059158325195,844.0394287109375,,24.6297550201416,
32000,iql,CartPole-v1,observational,iql,0.0,1.2798092365264893,50.49342727661133,,,,,,,,,,,7.753466606140137,7.253466606140137,863.5494384765625,,24.6297550201416,
34000,iql,CartPole-v1,observational,iql,0.0,0.548475980758667,51.172080993652344,,,,,,,,,,,8.051616668701172,7.551616668701172,905.1998291015625,,24.6297550201416,
36000,iql,CartPole-v1,observational,iql,0.0,0.3129459619522095,51.013851165771484,,,,,,,,,,,8.034292221069336,7.534292221069336,898.842529296875,,24.6297550201416,
38000,iql,CartPole-v1,observational,iql,0.0,1.1372970342636108,51.75377655029297,,,,,,,,,,,8.205695152282715,7.705695152282715,935.86376953125,,24.6297550201416,
40000,iql,CartPole-v1,observational,iql,0.0,0.41421520709991455,51.93528747558594,,,,,,,,,,,8.248724937438965,7.748724937438965,955.8901977539062,,24.6297550201416,
42000,iql,CartPole-v1,observational,iql,0.0,0.4409349262714386,51.899200439453125,,,,,,,,,,,7.956920146942139,7.456920146942139,957.5425415039062,,24.6297550201416,
44000,iql,CartPole-v1,observational,iql,0.0,0.4042362868785858,52.31526565551758,,,,,,,,,,,8.330697059631348,7.830697059631348,979.8707885742188,,24.6297550201416,
46000,iql,CartPole-v1,observational,iql,0.0,0.8236866593360901,52.530372619628906,,,,,,,,,,,8.24899959564209,7.74899959564209,993.7520751953125,,24.6297550201416,
48000,iql,CartPole-v1,observational,iql,0.0,0.4018976390361786,53.22598648071289,,,,,,,,,,,8.365607261657715,7.865607261657715,1036.5556640625,,24.6297550201416,
50000,iql,CartPole-v1,observational,iql,0.0,0.5330500602722168,53.08549499511719,,,,,,,,,,,8.58899211883545,8.08899211883545,1034.2911376953125,,24.6297550201416,
