episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,iql,CartPole-v1,,,0.2924830913543701,,0.026326466351747513,,,0.2924830913543701,0.39100801944732666,0.2924830913543701
4000,iql,CartPole-v1,,,0.16839246451854706,,0.5067147016525269,,,0.16839246451854706,0.3914766311645508,0.16839246451854706
6000,iql,CartPole-v1,,,0.1794757843017578,,1.2965041399002075,,,0.1794757843017578,0.2707473933696747,0.1794757843017578
8000,iql,CartPole-v1,,,0.11260019987821579,,2.207702875137329,,,0.11260019987821579,0.16724826395511627,0.11260019987821579
10000,iql,CartPole-v1,,,0.2737518846988678,,3.039010524749756,,,0.2737518846988678,0.1377330720424652,0.2737518846988678
12000,iql,CartPole-v1,,,0.4975455701351166,,3.2823357582092285,,,0.4975455701351166,0.1185595840215683,0.4975455701351166
14000,iql,CartPole-v1,,,0.2894192934036255,,4.391474723815918,,,0.2894192934036255,0.060774460434913635,0.2894192934036255
16000,iql,CartPole-v1,,,0.5954403877258301,,4.439386367797852,,,0.5954403877258301,0.06729422509670258,0.5954403877258301
18000,iql,CartPole-v1,,,0.15099522471427917,,5.528860092163086,,,0.15099522471427917,0.05041336268186569,0.15099522471427917
20000,iql,CartPole-v1,,,0.3218957781791687,,5.641656398773193,,,0.3218957781791687,0.019910966977477074,0.3218957781791687
22000,iql,CartPole-v1,,,0.37576043605804443,,5.74674129486084,,,0.37576043605804443,0.04207751154899597,0.37576043605804443
24000,iql,CartPole-v1,,,0.6408137679100037,,6.0526628494262695,,,0.6408137679100037,0.05880657583475113,0.6408137679100037
26000,iql,CartPole-v1,,,0.6483278870582581,,6.964062690734863,,,0.6483278870582581,0.050051264464855194,0.6483278870582581
28000,iql,CartPole-v1,,,0.25328099727630615,,7.635881423950195,,,0.25328099727630615,0.04612603783607483,0.25328099727630615
30000,iql,CartPole-v1,,,0.9402222633361816,,8.52332592010498,,,0.9402222633361816,0.013485081493854523,0.9402222633361816
32000,iql,CartPole-v1,,,1.303626537322998,,8.145573616027832,,,1.303626537322998,0.03362901508808136,1.303626537322998
34000,iql,CartPole-v1,,,0.43047308921813965,,7.811520099639893,,,0.43047308921813965,0.1073291078209877,0.43047308921813965
36000,iql,CartPole-v1,,,0.3044801354408264,,7.507906436920166,,,0.3044801354408264,0.025376051664352417,0.3044801354408264
38000,iql,CartPole-v1,,,1.0505123138427734,,8.36367416381836,,,1.0505123138427734,0.013978103175759315,1.0505123138427734
40000,iql,CartPole-v1,,,0.3141639232635498,,8.991252899169922,,,0.3141639232635498,0.024978725239634514,0.3141639232635498
42000,iql,CartPole-v1,,,0.38929978013038635,,8.746320724487305,,,0.38929978013038635,0.01703418418765068,0.38929978013038635
44000,iql,CartPole-v1,,,0.40367910265922546,,8.498408317565918,,,0.40367910265922546,0.021383512765169144,0.40367910265922546
46000,iql,CartPole-v1,,,0.7809385657310486,,10.263273239135742,,,0.7809385657310486,0.03733730688691139,0.7809385657310486
48000,iql,CartPole-v1,,,0.30942094326019287,,9.477867126464844,,,0.30942094326019287,0.042842715978622437,0.30942094326019287
50000,iql,CartPole-v1,,,0.5808597803115845,,9.790094375610352,,,0.5808597803115845,0.06477542966604233,0.5808597803115845
