episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,cql,CartPole-v1,,,0.7882481813430786,,,,,0.0780254453420639,,0.0780254453420639
4000,cql,CartPole-v1,,,1.1368941068649292,,,,,0.22309815883636475,,0.22309815883636475
6000,cql,CartPole-v1,,,1.5748652219772339,,,,,0.3368220031261444,,0.3368220031261444
8000,cql,CartPole-v1,,,2.121837615966797,,,,,0.3313913941383362,,0.3313913941383362
10000,cql,CartPole-v1,,,2.207448959350586,,,,,0.3621540069580078,,0.3621540069580078
12000,cql,CartPole-v1,,,2.186109781265259,,,,,0.3683386743068695,,0.3683386743068695
14000,cql,CartPole-v1,,,3.019864082336426,,,,,0.42568981647491455,,0.42568981647491455
16000,cql,CartPole-v1,,,3.08455491065979,,,,,0.40606942772865295,,0.40606942772865295
18000,cql,CartPole-v1,,,3.2105026245117188,,,,,0.42010965943336487,,0.42010965943336487
20000,cql,CartPole-v1,,,3.097019910812378,,,,,0.31989315152168274,,0.31989315152168274
22000,cql,CartPole-v1,,,3.715191125869751,,,,,0.36405491828918457,,0.36405491828918457
24000,cql,CartPole-v1,,,3.60605525970459,,,,,0.3825063705444336,,0.3825063705444336
26000,cql,CartPole-v1,,,4.042213439941406,,,,,0.3677431344985962,,0.3677431344985962
28000,cql,CartPole-v1,,,3.774404287338257,,,,,0.29472509026527405,,0.29472509026527405
30000,cql,CartPole-v1,,,3.9699409008026123,,,,,0.4740155339241028,,0.4740155339241028
32000,cql,CartPole-v1,,,4.386474132537842,,,,,0.429125040769577,,0.429125040769577
34000,cql,CartPole-v1,,,4.481626987457275,,,,,0.3326687812805176,,0.3326687812805176
36000,cql,CartPole-v1,,,4.014485836029053,,,,,0.3371674716472626,,0.3371674716472626
38000,cql,CartPole-v1,,,5.264657974243164,,,,,0.36526477336883545,,0.36526477336883545
40000,cql,CartPole-v1,,,4.582376480102539,,,,,0.3049640953540802,,0.3049640953540802
42000,cql,CartPole-v1,,,4.467323303222656,,,,,0.33965665102005005,,0.33965665102005005
44000,cql,CartPole-v1,,,4.703747272491455,,,,,0.3021334409713745,,0.3021334409713745
46000,cql,CartPole-v1,,,5.1184234619140625,,,,,0.279187947511673,,0.279187947511673
48000,cql,CartPole-v1,,,4.964582443237305,,,,,0.26243793964385986,,0.26243793964385986
50000,cql,CartPole-v1,,,4.6573166847229,,,,,0.3416052460670471,,0.3416052460670471
