episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,cql,CartPole-v1,observational,cql,0.0,0.8182218074798584,10.203666687011719,,,,,,,,,,,0.22249308228492737,0.22249308228492737,239.7816162109375,,19.606164932250977,
4000,cql,CartPole-v1,observational,cql,0.0,0.8287380933761597,17.951793670654297,,,,,,,,,,,0.8467008471488953,0.8467008471488953,128.98809814453125,,19.606164932250977,
6000,cql,CartPole-v1,observational,cql,0.0,1.016984462738037,24.6042537689209,,,,,,,,,,,1.4613479375839233,1.4613479375839233,136.1693572998047,,19.606164932250977,
8000,cql,CartPole-v1,observational,cql,0.0,1.3169108629226685,30.687551498413086,,,,,,,,,,,2.01690673828125,2.01690673828125,231.85684204101562,,19.606164932250977,
10000,cql,CartPole-v1,observational,cql,0.0,1.357062816619873,35.959537506103516,,,,,,,,,,,2.566753387451172,2.566753387451172,383.4919738769531,,19.606164932250977,
12000,cql,CartPole-v1,observational,cql,0.0,1.6066699028015137,40.87310028076172,,,,,,,,,,,3.017913818359375,3.017913818359375,581.841552734375,,19.606164932250977,
14000,cql,CartPole-v1,observational,cql,0.0,1.7647738456726074,45.6003532409668,,,,,,,,,,,3.3475964069366455,3.3475964069366455,821.851318359375,,19.606164932250977,
16000,cql,CartPole-v1,observational,cql,0.0,2.194308280944824,49.818721771240234,,,,,,,,,,,3.6384289264678955,3.6384289264678955,1076.46484375,,19.606164932250977,
18000,cql,CartPole-v1,observational,cql,0.0,1.8158636093139648,53.68403244018555,,,,,,,,,,,3.9794974327087402,3.9794974327087402,1344.4788818359375,,19.606164932250977,
20000,cql,CartPole-v1,observational,cql,0.0,2.471912384033203,57.193504333496094,,,,,,,,,,,4.270627498626709,4.270627498626709,1613.7430419921875,,19.606164932250977,
22000,cql,CartPole-v1,observational,cql,0.0,2.3369088172912598,60.391197204589844,,,,,,,,,,,4.504798412322998,4.504798412322998,1884.5966796875,,19.606164932250977,
24000,cql,CartPole-v1,observational,cql,0.0,2.9708170890808105,63.30305099487305,,,,,,,,,,,4.832204341888428,4.832204341888428,2150.904052734375,,19.606164932250977,
26000,cql,CartPole-v1,observational,cql,0.0,2.7178597450256348,66.1023178100586,,,,,,,,,,,5.003486633300781,5.003486633300781,2423.628662109375,,19.606164932250977,
28000,cql,CartPole-v1,observational,cql,0.0,2.20814847946167,68.76945495605469,,,,,,,,,,,5.222621440887451,5.222621440887451,2697.23095703125,,19.606164932250977,
30000,cql,CartPole-v1,observational,cql,0.0,3.366300582885742,71.19186401367188,,,,,,,,,,,5.418362140655518,5.418362140655518,2962.2275390625,,19.606164932250977,
32000,cql,CartPole-v1,observational,cql,0.0,2.5177621841430664,73.60226440429688,,,,,,,,,,,5.575328826904297,5.575328826904297,3234.4287109375,,19.606164932250977,
34000,cql,CartPole-v1,observational,cql,0.0,2.4791619777679443,75.71389770507812,,,,,,,,,,,5.744821548461914,5.744821548461914,3486.570556640625,,19.606164932250977,
36000,cql,CartPole-v1,observational,cql,0.0,1.9364442825317383,77.73758697509766,,,,,,,,,,,5.925516128540039,5.925516128540039,3738.0546875,,19.606164932250977,
38000,cql,CartPole-v1,observational,cql,0.0,4.923828125,79.6249008178711,,,,,,,,,,,6.102814674377441,6.102814674377441,3982.773681640625,,19.606164932250977,
40000,cql,CartPole-v1,observational,cql,0.0,3.507526397705078,81.7557601928711,,,,,,,,,,,6.221660614013672,6.221660614013672,4260.1533203125,,19.606164932250977,
42000,cql,CartPole-v1,observational,cql,0.0,2.1074681282043457,83.67078399658203,,,,,,,,,,,6.362220287322998,6.362220287322998,4527.1953125,,19.606164932250977,
44000,cql,CartPole-v1,observational,cql,0.0,2.6297037601470947,85.58576965332031,,,,,,,,,,,6.563215255737305,6.563215255737305,4798.12744140625,,19.606164932250977,
46000,cql,CartPole-v1,observational,cql,0.0,2.8123104572296143,87.3581771850586,,,,,,,,,,,6.644413948059082,6.644413948059082,5058.0224609375,,19.606164932250977,
48000,cql,CartPole-v1,observational,cql,0.0,1.9078378677368164,88.94525146484375,,,,,,,,,,,6.798104763031006,6.798104763031006,5295.2587890625,,19.606164932250977,
50000,cql,CartPole-v1,observational,cql,0.0,1.8821905851364136,90.47932434082031,,,,,,,,,,,6.878939628601074,6.878939628601074,5531.650390625,,19.606164932250977,
