episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,cql,CartPole-v1,observational,cql,0.0,0.8182218074798584,10.203664779663086,,,,,,,,,,,0.22249296307563782,0.22249296307563782,239.78143310546875,,19.606159210205078,
4000,cql,CartPole-v1,observational,cql,0.0,0.8287379741668701,17.95178985595703,,,,,,,,,,,0.846700131893158,0.846700131893158,128.98800659179688,,19.606159210205078,
6000,cql,CartPole-v1,observational,cql,0.0,1.0169849395751953,24.604251861572266,,,,,,,,,,,1.4613481760025024,1.4613481760025024,136.1693572998047,,19.606159210205078,
8000,cql,CartPole-v1,observational,cql,0.0,1.3169114589691162,30.687541961669922,,,,,,,,,,,2.0169084072113037,2.0169084072113037,231.8567352294922,,19.606159210205078,
10000,cql,CartPole-v1,observational,cql,0.0,1.3570637702941895,35.95952606201172,,,,,,,,,,,2.5667545795440674,2.5667545795440674,383.49176025390625,,19.606159210205078,
12000,cql,CartPole-v1,observational,cql,0.0,1.6066683530807495,40.87306594848633,,,,,,,,,,,3.0179147720336914,3.0179147720336914,581.8399047851562,,19.606159210205078,
14000,cql,CartPole-v1,observational,cql,0.0,1.7647721767425537,45.600318908691406,,,,,,,,,,,3.3475911617279053,3.3475911617279053,821.8494262695312,,19.606159210205078,
16000,cql,CartPole-v1,observational,cql,0.0,2.1943063735961914,49.81869888305664,,,,,,,,,,,3.6384291648864746,3.6384291648864746,1076.46337890625,,19.606159210205078,
18000,cql,CartPole-v1,observational,cql,0.0,1.81586492061615,53.68400573730469,,,,,,,,,,,3.9795260429382324,3.9795260429382324,1344.4775390625,,19.606159210205078,
20000,cql,CartPole-v1,observational,cql,0.0,2.4719295501708984,57.19354248046875,,,,,,,,,,,4.270646572113037,4.270646572113037,1613.7470703125,,19.606159210205078,
22000,cql,CartPole-v1,observational,cql,0.0,2.3369240760803223,60.39127731323242,,,,,,,,,,,4.504807949066162,4.504807949066162,1884.6051025390625,,19.606159210205078,
24000,cql,CartPole-v1,observational,cql,0.0,2.9708445072174072,63.303157806396484,,,,,,,,,,,4.832141399383545,4.832141399383545,2150.915771484375,,19.606159210205078,
26000,cql,CartPole-v1,observational,cql,0.0,2.7178702354431152,66.10234832763672,,,,,,,,,,,5.003482341766357,5.003482341766357,2423.633544921875,,19.606159210205078,
28000,cql,CartPole-v1,observational,cql,0.0,2.208165168762207,68.76954650878906,,,,,,,,,,,5.22258996963501,5.22258996963501,2697.242431640625,,19.606159210205078,
30000,cql,CartPole-v1,observational,cql,0.0,3.3662595748901367,71.19195556640625,,,,,,,,,,,5.418285369873047,5.418285369873047,2962.238525390625,,19.606159210205078,
32000,cql,CartPole-v1,observational,cql,0.0,2.517758369445801,73.60215759277344,,,,,,,,,,,5.575531482696533,5.575531482696533,3234.418701171875,,19.606159210205078,
34000,cql,CartPole-v1,observational,cql,0.0,2.479153633117676,75.71337890625,,,,,,,,,,,5.744720458984375,5.744720458984375,3486.51123046875,,19.606159210205078,
36000,cql,CartPole-v1,observational,cql,0.0,1.9362080097198486,77.73667907714844,,,,,,,,,,,5.925098896026611,5.925098896026611,3737.946044921875,,19.606159210205078,
38000,cql,CartPole-v1,observational,cql,0.0,4.923725128173828,79.62371826171875,,,,,,,,,,,6.102236270904541,6.102236270904541,3982.638671875,,19.606159210205078,
40000,cql,CartPole-v1,observational,cql,0.0,3.5075721740722656,81.7552719116211,,,,,,,,,,,6.221643924713135,6.221643924713135,4260.09423828125,,19.606159210205078,
42000,cql,CartPole-v1,observational,cql,0.0,2.1076486110687256,83.67106628417969,,,,,,,,,,,6.362480163574219,6.362480163574219,4527.22412109375,,19.606159210205078,
44000,cql,CartPole-v1,observational,cql,0.0,2.6298089027404785,85.58612823486328,,,,,,,,,,,6.563477039337158,6.563477039337158,4798.1650390625,,19.606159210205078,
46000,cql,CartPole-v1,observational,cql,0.0,2.8124172687530518,87.3584976196289,,,,,,,,,,,6.64461612701416,6.64461612701416,5058.0576171875,,19.606159210205078,
48000,cql,CartPole-v1,observational,cql,0.0,1.9078528881072998,88.94549560546875,,,,,,,,,,,6.7982177734375,6.7982177734375,5295.2880859375,,19.606159210205078,
50000,cql,CartPole-v1,observational,cql,0.0,1.8822197914123535,90.47959899902344,,,,,,,,,,,6.878994941711426,6.878994941711426,5531.68994140625,,19.606159210205078,
