episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost,q1_contrast_pred,q1_contrast_error,value_mse_to_mc,value_mse_to_mc_u0,mc_rtg_mean,mc_rtg_u0_mean
2000,iql,CartPole-v1,observational,iql,0.0,0.005576195660978556,7.842670440673828,,,,,,,,,,,0.6449124217033386,0.6449124217033386,22.348909378051758,,9.148781776428223,
4000,iql,CartPole-v1,observational,iql,0.0,0.05683644488453865,10.379875183105469,,,,,,,,,,,1.5432127714157104,1.5432127714157104,13.031200408935547,,9.148781776428223,
6000,iql,CartPole-v1,observational,iql,0.0,0.0654129832983017,11.301121711730957,,,,,,,,,,,2.3473682403564453,2.3473682403564453,14.73231029510498,,9.148781776428223,
8000,iql,CartPole-v1,observational,iql,0.0,0.06628795713186264,11.974238395690918,,,,,,,,,,,2.6351325511932373,2.6351325511932373,18.757488250732422,,9.148781776428223,
10000,iql,CartPole-v1,observational,iql,0.0,0.10484781861305237,12.206262588500977,,,,,,,,,,,2.9335429668426514,2.9335429668426514,21.52945327758789,,9.148781776428223,
12000,iql,CartPole-v1,observational,iql,0.0,0.028326690196990967,12.3776273727417,,,,,,,,,,,3.1923444271087646,3.1923444271087646,23.73456382751465,,9.148781776428223,
14000,iql,CartPole-v1,observational,iql,0.0,0.13114261627197266,12.66360092163086,,,,,,,,,,,3.3160040378570557,3.3160040378570557,26.057790756225586,,9.148781776428223,
16000,iql,CartPole-v1,observational,iql,0.0,0.026653729379177094,12.75670337677002,,,,,,,,,,,3.4454383850097656,3.4454383850097656,27.581571578979492,,9.148781776428223,
18000,iql,CartPole-v1,observational,iql,0.0,0.06517552584409714,12.708037376403809,,,,,,,,,,,3.372269630432129,3.372269630432129,26.824583053588867,,9.148781776428223,
20000,iql,CartPole-v1,observational,iql,0.0,0.06759944558143616,12.787678718566895,,,,,,,,,,,3.510735511779785,3.510735511779785,28.773923873901367,,9.148781776428223,
22000,iql,CartPole-v1,observational,iql,0.0,0.05896846204996109,13.004548072814941,,,,,,,,,,,3.628047466278076,3.628047466278076,31.094676971435547,,9.148781776428223,
24000,iql,CartPole-v1,observational,iql,0.0,0.0384029857814312,12.995858192443848,,,,,,,,,,,3.7190446853637695,3.7190446853637695,31.196149826049805,,9.148781776428223,
26000,iql,CartPole-v1,observational,iql,0.0,0.03256992995738983,12.967146873474121,,,,,,,,,,,3.6916468143463135,3.6916468143463135,30.718252182006836,,9.148781776428223,
28000,iql,CartPole-v1,observational,iql,0.0,0.06806562840938568,13.067753791809082,,,,,,,,,,,3.6518287658691406,3.6518287658691406,31.19221305847168,,9.148781776428223,
30000,iql,CartPole-v1,observational,iql,0.0,0.029676254838705063,12.963786125183105,,,,,,,,,,,3.7212274074554443,3.7212274074554443,31.188138961791992,,9.148781776428223,
32000,iql,CartPole-v1,observational,iql,0.0,0.049284931272268295,13.128543853759766,,,,,,,,,,,3.733074188232422,3.733074188232422,32.497459411621094,,9.148781776428223,
34000,iql,CartPole-v1,observational,iql,0.0,0.030925342813134193,13.049888610839844,,,,,,,,,,,3.7400920391082764,3.7400920391082764,31.822208404541016,,9.148781776428223,
36000,iql,CartPole-v1,observational,iql,0.0,0.03785811364650726,13.084028244018555,,,,,,,,,,,3.7901265621185303,3.7901265621185303,32.230289459228516,,9.148781776428223,
38000,iql,CartPole-v1,observational,iql,0.0,0.034952908754348755,13.14085578918457,,,,,,,,,,,3.7731809616088867,3.7731809616088867,33.14372634887695,,9.148781776428223,
40000,iql,CartPole-v1,observational,iql,0.0,0.09731268882751465,13.010117530822754,,,,,,,,,,,3.7765464782714844,3.7765464782714844,31.141315460205078,,9.148781776428223,
42000,iql,CartPole-v1,observational,iql,0.0,0.07288618385791779,13.322816848754883,,,,,,,,,,,3.7560110092163086,3.7560110092163086,34.41493606567383,,9.148781776428223,
44000,iql,CartPole-v1,observational,iql,0.0,0.022353393957018852,13.309121131896973,,,,,,,,,,,3.8567140102386475,3.8567140102386475,34.54295349121094,,9.148781776428223,
46000,iql,CartPole-v1,observational,iql,0.0,0.026117514818906784,13.283191680908203,,,,,,,,,,,3.7992308139801025,3.7992308139801025,33.95510482788086,,9.148781776428223,
48000,iql,CartPole-v1,observational,iql,0.0,0.038087040185928345,13.291117668151855,,,,,,,,,,,3.8352506160736084,3.8352506160736084,34.47031021118164,,9.148781776428223,
50000,iql,CartPole-v1,observational,iql,0.0,0.029017511755228043,13.245741844177246,,,,,,,,,,,3.7788214683532715,3.7788214683532715,33.744197845458984,,9.148781776428223,
