episode,algorithm,environment,train_return_mean,train_return_std,loss,policy_loss,value_loss,entropy,kl,critic_loss,actor_loss,q_loss
2000,iql,CartPole-v1,,,0.006042023189365864,,0.07809209823608398,,,0.006042023189365864,0.423439085483551,0.006042023189365864
4000,iql,CartPole-v1,,,0.05661279708147049,,0.3162873089313507,,,0.05661279708147049,0.3712173402309418,0.05661279708147049
6000,iql,CartPole-v1,,,0.07140810787677765,,0.5264942049980164,,,0.07140810787677765,0.16863083839416504,0.07140810787677765
8000,iql,CartPole-v1,,,0.06633279472589493,,0.6050576567649841,,,0.06633279472589493,0.18685677647590637,0.06633279472589493
10000,iql,CartPole-v1,,,0.10473319888114929,,0.905646562576294,,,0.10473319888114929,0.13711419701576233,0.10473319888114929
12000,iql,CartPole-v1,,,0.03457057476043701,,1.059918999671936,,,0.03457057476043701,0.10933685302734375,0.03457057476043701
14000,iql,CartPole-v1,,,0.14065471291542053,,1.1011371612548828,,,0.14065471291542053,0.1669646054506302,0.14065471291542053
16000,iql,CartPole-v1,,,0.034352950751781464,,1.120019793510437,,,0.034352950751781464,0.11275176703929901,0.034352950751781464
18000,iql,CartPole-v1,,,0.07102598249912262,,1.419069528579712,,,0.07102598249912262,0.1095101609826088,0.07102598249912262
20000,iql,CartPole-v1,,,0.07710505276918411,,1.3175392150878906,,,0.07710505276918411,0.07617174088954926,0.07710505276918411
22000,iql,CartPole-v1,,,0.07163362950086594,,1.4077377319335938,,,0.07163362950086594,0.12424388527870178,0.07163362950086594
24000,iql,CartPole-v1,,,0.03699894994497299,,1.3682365417480469,,,0.03699894994497299,0.09831403195858002,0.03699894994497299
26000,iql,CartPole-v1,,,0.04110041260719299,,1.400989055633545,,,0.04110041260719299,0.15413326025009155,0.04110041260719299
28000,iql,CartPole-v1,,,0.07203546166419983,,1.4412027597427368,,,0.07203546166419983,0.13012100756168365,0.07203546166419983
30000,iql,CartPole-v1,,,0.030656777322292328,,1.7301623821258545,,,0.030656777322292328,0.09489155560731888,0.030656777322292328
32000,iql,CartPole-v1,,,0.049113981425762177,,1.664778470993042,,,0.049113981425762177,0.10457020998001099,0.049113981425762177
34000,iql,CartPole-v1,,,0.03477182611823082,,1.6162264347076416,,,0.03477182611823082,0.10789547860622406,0.03477182611823082
36000,iql,CartPole-v1,,,0.04089454934000969,,1.43430495262146,,,0.04089454934000969,0.11452454328536987,0.04089454934000969
38000,iql,CartPole-v1,,,0.04160478338599205,,1.5553336143493652,,,0.04160478338599205,0.12062802165746689,0.04160478338599205
40000,iql,CartPole-v1,,,0.10716550797224045,,1.5487792491912842,,,0.10716550797224045,0.09726808220148087,0.10716550797224045
42000,iql,CartPole-v1,,,0.06896824389696121,,1.6063145399093628,,,0.06896824389696121,0.13516904413700104,0.06896824389696121
44000,iql,CartPole-v1,,,0.02593369223177433,,1.5668344497680664,,,0.02593369223177433,0.09296630322933197,0.02593369223177433
46000,iql,CartPole-v1,,,0.026971867308020592,,1.5908119678497314,,,0.026971867308020592,0.09738697111606598,0.026971867308020592
48000,iql,CartPole-v1,,,0.0418761670589447,,1.4988641738891602,,,0.0418761670589447,0.12629900872707367,0.0418761670589447
50000,iql,CartPole-v1,,,0.03198058158159256,,1.6595546007156372,,,0.03198058158159256,0.08491010218858719,0.03198058158159256
