episode,algorithm,environment,separability,action_overlap,action_coverage,intervened_mean
2000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
4000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
6000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
8000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
10000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
12000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
14000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
16000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
18000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
20000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
22000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
24000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
26000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
28000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
30000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
32000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
34000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
36000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
38000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
40000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
42000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
44000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
46000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
48000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
50000,iql,CartPole-v1,0.5804276466369629,0.2731783986091614,0.25,
